BreedName,Group1,Temperment,AvgPupPrice,PopularityUS2017
Pumi,Herding,"Active, Intelligent, Lively, Protective, Reserved, Vocal",2750,162.0
Rat Terrier,Terrier,"Affectioante, Alert, Inquisitive, Lively, Loving",400,97.0
Redbone Coonhound,Hound,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",700,139.0
Retriever,Sporting,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500,3.0
Rhodesian Ridgeback,Hound,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong-willed",1150,41.0
Rottweiler,Working,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",1600,8.0
Saint Bernard,Working,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",1650,48.0
Saluki,Hound,"Aloof, Intelligent, Quiet, Reserverd, Loyal",700,123.0
Samoyed,Working,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",1350,57.0
Sarplaninac,Working,"Independent, Calm, Devoted, Intelligent, Protective, Reliable",900,
Schipperke,Non Sporting,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",800,110.0
Miniature Schnauzer,Terrier,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",800,18.0
Schnauzer,Working,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1350,90.0
Giant Schnauzer,Working,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1250,80.0
Scottish Deerhound,Hound,"Dignified, Docile, Friendly, Gentle, Polite, Quiet",1100,168.0
Scottish Terrier Scottie,Terrier,"Independent, Fiesty, Alert, Playful, Quick, Self-assured",900,58.0
Sealyham Terrier,Terrier,"Alert, Calm, Even-tempered, Fearless, Friendly, Intelligent",900,150.0
Setter,Sporting,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500,95.0
Shar Pei,Non Sporting,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",1100,64.0
Sheep Dog,Herding,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350,70.0
Shepherd,Herding,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,2.0
Shetland Sheepdog Sheltie,Herding,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",900,24.0
Shiba Inu,Non Sporting,"Alert, Charming, Confident, Faithful, Fearless, Keen, Outgoing",900,45.0
Shih Tzu,Toy,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",1000,20.0
Siberian Husky,Working,"Alert, Friendly, Gentle, Intelligent, Outgoing",950,12.0
Silky Terrier,Toy,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",700,106.0
Skye Terrier,Terrier,"Loyal, Fearless, Friendly, Good-tempered, Intelligent",800,172.0
Sloughi,Hound,"Alert, Faithful, Intelligent, Sensitive, Independent, Playful, Sweet",900,188.0
Smooth Fox Terrier,Terrier,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850,122.0
South Russian Ovtcharka,Herding,"Active, Balanced, Courageous, Lively, Nervous",900,
Spaniel,Sporting,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700,29.0
Spitz,Non Sporting,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,118.0
Staffordshire Bull Terrier,Terrier,"Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable",1750,82.0
Sussex Spaniel,Sporting,"Calm, Cheerful, Companionable, Devoted, Friendly, Sociable",2500,161.0
Swedish Vallhund,Herding,"Alert, Energetic, Fearless, Friendly, Watchful",800,149.0
Terrier,Terrier,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",1050,42.0
Thai Ridgeback,Hound,"Familial, Independent, Loving, Loyal, Protective",700,
Tibetan Mastiff,Working,"Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal",3000,153.0
Tibetan Spaniel,Non Sporting,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",900,121.0
Tibetan Terrier,Non Sporting,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",1600,101.0
Tosa Inu,Working,"Aggressive, Brave, Fearless, Intelligent, Sensitive, Suspicious",700,
Toy Fox Terrier,Toy,"Alert, Friendly, Intelligent, Loyal, Playful, Spirited",500,112.0
Treeing Walker Coonhound,Hound,"Affectionate, Clever, Confident, Loving, Trainable",500,131.0
Vizsla,Sporting,"Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet",1000,30.0
Weimaraner,Sporting,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",1750,34.0
Welsh Corgi,Herding,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,68.0
Cardigan,Herding,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,68.0
Pembroke,Herding,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,68.0
